,vendor_name,img,name,carbohydrates,fats,proteins,calories
43,4100548,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/db/b6/a0398d89ced56095ac3851b6059e.jpg,"Имбирь Конфаэль цукаты в сахаре, 150г",80.0,0.1,0.3,350.0
44,3934534,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/2f/24/a0ca8720d6964e22e72b01976017.jpg,"Имбирь цукаты, 150г",82.0,0.1,82.0,330.0
45,4138390,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/5a/32/0b078190d6f8a1a459c9250c75d3.jpg,"Cмесь Bombbar Малина сухая для приготовления блинчиков, 420г",40.6,3.3,35.0,354.0
46,4121486,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/39/8c/b6af5de9663bfda08a2a6a844d1e.png,"Смесь сухая Bionova MeatOff бургер для приготовления овощных протеиновых бургеров с капустой, 100г",42.0,10.0,18.0,340.0
47,4121488,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b6/c5/3b798e4e7fd65e8fa749161da85a.png,"Смесь сухая Bionova MeatOff бургер для приготовления овощных протеиновых бургеров со свеклой, 100г",54.0,7.0,18.0,350.0
48,4121485,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/11/47/0af08ecccf5c082edee3e14b73ee.png,"Смесь сухая Bionova MeatOff бургер для приготовления овощных протеиновых бургеров с грибами, 100г",49.0,8.0,18.0,340.0
49,4121491,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/82/28/93520804156098f51c7507942fxd.png,"Смесь Bionova MeatOff бургер для приготовления овощных протеиновых бургеров шпинат-брокколи, 100г",46.0,7.5,18.0,330.0
50,4133097,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/3f/8b/5a647ee69766080e2e5ba29fe56e.jpg,"БАД Биоконтур Рыбный жир с кальцием и Витамином Д3 к пище 100 капсул, 330мг",,,,
51,4244051,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/14/6f/599db1741e5bbfe6feaa62d06abd.jpg,"Порошок из ростков ячменя Продукты 22 Века Барлейграсс, 75г",16.0,0.2,22.0,260.0
52,4244050,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/52/27/121eb54xd85fe15de3f416a3c1a1.jpg,"Спирулина Продукты 22 Века в форме таблеток, 75г",42.0,7.5,57.0,330.0
53,4109008,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b4/ca/9063a1aa226bd84178415f097c26.jpg,"БАД Lactoflorene Плоский живот пробиотический комплекс, 20х4г",,,,
